,收盘价(元)
739,2436.1171312980887
740,2470.730699355328
741,2484.534592504599
742,2455.2158574399095
743,2456.4531236111234
744,2466.626687465411
745,2476.17257667361
746,2471.6549371852248
747,2469.063245253815
748,2451.2865856030967
749,2459.849228902464
750,2491.8848101304975
751,2525.8274943999763
752,2542.9566831458665
753,2589.7582747327715
754,2588.4559093260873
755,2552.9417066705255
756,2621.4401881844797
757,2622.6672707033613
758,2627.9713356050343
759,2619.0081035891562
760,2668.9032413013797
761,2818.381364767211
762,2799.568161587978
763,2811.2821218254276
764,2799.032806033126
765,2849.523925342591
766,2881.4744207277736
767,2906.8584590193614
768,2952.401750910142
769,2956.512139479556
770,2826.545418010806
771,2880.9195544371446
772,2912.6266890838815
773,2880.8803426169493
774,2846.3641378899524
775,2875.9311827577726
776,2946.9944218703326
777,2941.814464283064
778,2941.495915831137
779,2951.7887331094657
780,2954.352443790542
781,2896.184373411657
782,2852.4651925545295
783,2876.852850881006
784,2850.417041169566
785,2941.607936006792
786,3017.369550643056
787,3023.5194297342355
788,3061.087113536729
789,3089.9022812697344
790,3088.226166305023
791,3083.3281150561497
792,3085.4847651668965
793,3036.024574101015
794,3034.752759651328
795,3024.43681501303
796,3096.589609750825
797,3105.6503002712666
798,3093.3569187684056
799,3112.95911706759
800,3112.95911706759
801,3059.894959993604
802,3044.239926303555
803,3047.114095619285
804,2973.080275603961
805,2937.45919218607
806,2914.7121488026232
807,2929.788141924544
808,2766.2073731162536
809,2785.1725696859044
810,2754.113286641279
811,2713.375822082456
812,2797.373727271849
813,2763.589222723644
814,2744.456900046559
815,2796.866924013256
816,2813.077870911463
817,2743.20583359882
818,2732.078432700847
819,2765.736069879342
820,2752.1602144028575
821,2714.8620642770466
822,2715.3184251455828
823,2752.801308628188
824,2769.4876512591045
825,2774.042503906947
826,2765.5805550390523
827,2758.814327045967
828,2750.614868955011
829,2724.1558367092803
830,2723.335243714803
831,2691.3373515178305
832,2714.4955479674045
833,2784.5305237173648
834,2768.982275615324
835,2770.277598122264
836,2742.8994674599626
837,2748.2747227536415
838,2750.6882483563963
839,2776.999094184544
840,2842.969840910708
841,2857.114267780026
842,2862.984334367869
843,2838.1684867718313
844,2832.657798419565
845,2852.1770047109576
846,2835.1272865229876
847,2897.9655608266007
848,2897.0518873463193
849,2869.7563679945274
850,2860.225135631741
851,2865.7547636738586
852,2791.8086943823705
853,2786.9225399236047
854,2774.619069942733
855,2776.959120969782
856,2789.127443415029
857,2800.2048777945492
858,2795.8568389459406
859,2790.218521829398
860,2761.175126074964
861,2783.088061710371
862,2747.657897980131
863,2760.0025784419363
864,2782.2095075544885
865,2795.6125264642865
866,2802.44689927111
867,2799.083438771825
868,2809.86792659173
869,2790.992479406653
870,2768.398285982511
871,2729.444959242578
872,2685.3393706427482
873,2643.519964404359
874,2635.0719109873107
875,2659.6961726754516
876,2640.852513713543
877,2679.1518025205073
878,2662.272827064165
879,2673.3653941607026
880,2679.916242665676
881,2687.5551240067507
882,2743.9670378170786
883,2741.0215829350227
884,2741.335182322265
885,2744.29044015937
886,2757.604851776445
887,2725.3807302187824
888,2762.1426682208535
889,2754.113001118317
890,2751.4127152868023
891,2746.955987363769
892,2782.9983123257975
893,2788.753979379964
894,2814.6964054120526
895,2841.7765452757326
896,2854.8501658610253
897,2878.774610767864
898,2875.408866084879
899,2863.616196684076
900,2884.9574201740616
901,2884.499917213675
902,2834.4033906385066
903,2841.5802958261143
904,2854.543323850564
905,2861.3652288213543
906,2833.412530784006
907,2841.2776414857713
908,2812.8128104278608
909,2787.739135596606
910,2790.67002880757
911,2764.9940908738968
912,2772.9708410540343
913,2783.71240525523
914,2805.463544545171
915,2830.156712441617
916,2862.7325982891875
917,2846.7076220139456
918,2834.9692971503555
